hostname,score,sources,label,level,http_status,mx
agenciamedioambienteyagua.es,4,wikidata,Environment and Water Agency of Andalusia,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 juntadeandalucia.in.tmes.trendmicro.eu.
airef.es,4,wikidata,Independent Authority for Fiscal Responsibility,central,ConnectException,10 airef-es.mail.protection.outlook.com.
ambacammadrid.es,4,wikidata,embassy of Cameroon in Spain,central,200,none
aneca.es,4,wikidata,Spanish Agency for Quality Assessment and University Accreditation,,ConnectException,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
antifraucv.es,4,wikidata,Q52012931,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,1 antifraucv-es.mail.protection.outlook.com.
apba.es,4,wikidata,Bahía de Algeciras Port Authority,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 apbaes-mail-onmicrosoft-com.mail.protection.outlook.com.
apc.es,4,wikidata,Port Authority of Cartagena,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 apc-es.mail.protection.outlook.com.
aquib.es,4,wikidata,Agència de Qualitat Universitària de les Illes Balears,,301,0 aquib-es.mail.protection.outlook.com.
aragontelevision.es,4,wikidata,Aragón TV,,301,10 mx1.hc384-90.eu.iphmx.com.; 40 aragontelevision-es.mail.protection.outlook.com.; 20 mx2.hc384-90.eu.iphmx.com.
atv.gva.es,4,wikidata,Q123183934,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
avl.gva.es,4,wikidata,Acadèmia Valenciana de la Llengua,,301,10 mxext.gva.es.
avsre.gva.es,4,wikidata,Valencian Security and Emergency Agency,,HttpConnectTimeoutException: HTTP connect timed out,none
